authors,citedby,author_count
"['Pongpirul K.', 'Lungren M.P.']",1,2
"['Pratumsiri T.', 'Janpugdee P.']",1,2
"['Phuakpunk K.', 'Chalermsinsuwan B.', 'Putivisutisak S.', 'Assabumrungrat S.']",21,4
"['Saengkaew J.', 'Le D.', 'Samart C.', 'Sawada H.', 'Nishida M.', 'Chanlek N.', 'Kongparakul S.', 'Kiatkamjornwong S.']",37,8
"['Teengam P.', 'Siangproh W.', 'Tuantranont A.', 'Vilaivan T.', 'Chailapakul O.', 'Henry C.S.']",68,6
['Setamanit S.-O.'],15,1
"['Chongsrisawat V.', 'Damrongphol P.', 'Ittiwut C.', 'Ittiwut R.', 'Suphapeetiporn K.', 'Shotelersuk V.']",13,6
"['Johnstone C.', 'Ghia A.J.', 'Prayongrat A.']",0,3
"['Kowsrihawat K.', 'Vateekul P.', 'Boonkwan P.']",24,3
"['Pitakchatwong C.', 'Chirachanchai S.']",3,2
"['Zhang S.', 'Qin J.', 'Yang C.', 'Zhang X.', 'Liu R.']",17,5
"['Ketpupong P.', 'Piromsopa K.']",4,2
"['Akkaradamrongrat S.', 'Kachamas P.', 'Sinthupinyo S.']",0,3
"['Visetnoi S.', 'Nelles W.']",1,2
['Kidyoo M.'],6,1
"['Laverock J.', 'Jovic V.', 'Zakharov A.A.', 'Niu Y.R.', 'Kittiwatanakul S.', 'Westhenry B.', 'Lu J.W.', 'Wolf S.A.', 'Smith K.E.']",13,9
"['Zhang M.', 'Qin J.', 'Rajendran S.', 'Zhang X.', 'Liu R.']",105,5
"['Laosuttiwong T.', 'Ngaosuwan K.', 'Kiatkittipong W.', 'Wongsawaeng D.', 'Kim-Lohsoontorn P.', 'Assabumrungrat S.']",30,6
"['Suntraruk P.', 'Bukkavesa K.', 'Kulvanich N.']",0,3
"['Namnaun B.', 'Yoodee K.', 'Chatraphorn S.']",1,3
"['Sintham P.', 'Saengkaew P.', 'Sanorpim S.']",2,3
"['Noikaew B.', 'Sukaiem S.', 'Namnuan B.', 'Chatraphorn S.']",5,4
"['Wachirapusitanand V.', 'Suwonjandee N.', 'Asavapibhop B.', 'Srimanobhas N.']",0,4
"['Piankoranee S.', 'Limkumnerd S.']",1,2
"['Tekacharin P.', 'Chobaomsup V.', 'Kamchaddaskorn A.', 'Jongprateep O.', 'Saisriyoot M.', 'Surawathanawises K.', 'Boonyongmaneerat Y.', 'Techapiesancharoenkij R.']",3,8
"['Payupol T.', 'Suwonjandee N.', 'Asavapibhop B.']",1,3
"['Songwadhana J.', 'Khosonthongkee K.', 'Yan Y.', 'Limphirat A.', 'Payupol T.']",0,5
"['Suwonjandee N.', 'Mahachok T.', 'Asavapibhop B.']",3,3
"['Rodphai N.', 'Suwonjandee N.', 'Asavapibhop B.']",0,3
"['Duangklang P.', 'Tianprateep M.', 'Wannadelok O.']",0,3
"['Kareeso P.', 'Burikham P.']",1,2
"['Potipiranun T.', 'Adisakwattana S.', 'Worawalai W.', 'Ramadhan R.', 'Phuwapraisirisan P.']",24,5
"['Evnin O.', 'Nguyen K.']",7,2
"['Nimmanpipug P.', 'Kodchakorn K.', 'Lee V.S.', 'Yana J.', 'Jarumaneeroj C.', 'Phongtamrug S.', 'Chirachanchai S.']",4,7
"['Chaiviriyawong P.', 'Panedpojaman P.', 'Limkatanyu S.', 'Pinkeaw T.']",3,4
"['Wannachod T.', 'Hronec M.', 'Sotak T.', 'Fulajtarova K.', 'Pancharoen U.', 'Arpornwichanop A.']",1,6
"['Srikhong P.', 'Lertmongkonthum K.', 'Sowanpreecha R.', 'Rerngsamran P.']",16,4
"['Pooput P.', 'Muenchaisri P.']",3,2
"['Tungjaturasopon P.', 'Piromsopa K.']",4,2
"['Tsuppayakorn-Aek P.', 'Luo W.', 'Pungtrakoon W.', 'Chuenkingkeaw K.', 'Kaewmaraya T.', 'Ahuja R.', 'Bovornratanaraks T.']",19,7
"['Sivamaruthi B.S.', 'Kesika P.', 'Prasanth M.I.', 'Chaiyasut C.']",35,4
"['Yang C.', 'Qin J.', 'Rajendran S.', 'Zhang X.', 'Liu R.']",64,5
"['Chentanez N.', 'Muller M.', 'Macklin M.', 'Makoviychuk V.', 'Jeschke S.']",41,5
"['Pinyopawasutthi P.', 'Banjerdpongchai D.', 'Oishi Y.']",0,3
"['Sutthimat P.', 'Mekchay K.', 'Rujivan S.']",12,3
"['Meesa R.', 'Laohakosol V.', 'Chaichana T.', 'Yuttanan B.']",0,4
"['Nowwarote N.', 'Sukarawan W.', 'Pavasant P.', 'Foster B.L.', 'Osathanon T.']",27,5
"['Oncharoen P.', 'Vateekul P.']",8,2
"['Karnkawinpong T.', 'Limpiyakorn Y.']",10,2
['Parivudhiphongs A.'],6,1
"['Chutimakul L.', 'Sukonthasab S.', 'Kritpet T.', 'Vannalee C.']",3,4
"['Jirarattanasopha V.', 'Witvorapong N.', 'Hanvoravongchai P.']",1,3
"['Woodham N.', 'Taneepanichskul S.', 'Somrongthong R.', 'Auamkul N.']",20,4
"['Sotthipoka K.', 'Thanomsuk P.', 'Prasopsuk R.', 'Trairatvorakul C.', 'Kasevayuth K.']",4,5
"['Sangsiriwut K.', 'Uiprasertkul M.', 'Payungporn S.', 'Auewarakul P.', 'Ungchusak K.', 'Chantratita W.', 'Puthavathanad P.']",3,7
"['Yuenyong W.', 'Chinpongpanich A.', 'Comai L.', 'Chadchawan S.', 'Buaboocha T.']",54,5
"['Shi L.', 'Babaei V.', 'Kim C.', 'Foshey M.', 'Hu Y.', 'Sitthi-Amorn P.', 'Rusinkiewicz S.', 'Matusik W.']",15,8
"['Kansai N.', 'Chaisuwan N.', 'Supakata N.']",8,3
"['Sakulsom N.', 'Tharmmaphornphilas W.']",4,2
"['Kasivitamnuay J.', 'Singhatanadgid P.']",0,2
"['Hankansujarit C.', 'Andrei C.-O.']",3,2
"['Pitaktamrong P.', 'Kingkaew J.', 'Yooyongwech S.', 'Cha-Um S.', 'Phisalaphong M.']",7,5
"['Chuenchum P.', 'Pattanapong N.', 'Suttinon P.', 'Ruangrassamee P.']",7,4
['Pungetmongkol P.'],4,1
"['Solikhah F.', 'Assavalapsakul W.', 'Zulaika E.']",1,3
"['Sutthichaimethee P.', 'Ariyasajjakorn D.']",2,2
"['Chuayplod P.', 'Aht-Ong D.']",1,2
"['Panyadee R.', 'Posoknistakul P.', 'Jonglertjunya W.', 'Kim-Lohsoontorn P.', 'Laosiripojana N.', 'Matsagar B.M.', 'Wu K.C.-W.', 'Sakdaronnarong C.']",24,8
"['Cao M.', 'Zhang X.', 'Qin J.', 'Liu R.']",39,4
"['Luckanahasaporn S.', 'Tharasanit T.', 'Briksawan P.', 'Durongphongthron S.']",0,4
"['Thu W.P.', 'Sinwat N.', 'Chuanchuen R.']",0,3
['Tuntivanich N.'],0,1
"['Buranakarl C.', 'Sutayatram S.']",0,2
"['Klansnoh U.', 'Banlunara W.', 'Choisunirachon N.']",0,3
"['Charoenvisal N.', 'Supannamoke B.', 'Koopman R.', 'Sasipreeyajan J.']",1,4
