authors,citedby,author_count
"['Plengsakul J.', 'Powtongsook S.', 'Nootong K.']",1,3
"['Channuwong P.', 'Salae K.', 'Chongruchiroj S.', 'Cheng H.', 'Suantawee T.', 'Thilavech T.', 'Adisakwattana S.']",2,7
"['Saramas T.', 'Sakunpongpitiporn P.', 'Rotjanasuworapong K.', 'Morarad R.', 'Niamlang S.', 'Sirivat A.']",5,6
"['Li T.', 'Yang C.', 'Tantikhajorngosol P.', 'Sema T.', 'Tontiwachwuthikul P.']",7,5
"['Yue Y.', 'Chen Y.', 'Zhang X.', 'Qin J.', 'Zhang X.', 'Liu R.']",1,6
"['Liu X.', 'Niu J.', 'Rajendran S.', 'Lei Y.', 'Qin J.', 'Zhang X.']",1,6
"['Dharmaraj S.', 'Ashokkumar V.', 'Chew K.W.', 'Chia S.R.', 'Show P.L.', 'Ngamcharussrivichai C.']",13,6
"['Etesami M.', 'Mehdipour-Ataei S.', 'Somwangthanaroj A.', 'Kheawhom S.']",13,4
"['Ountaksinkul K.', 'Sripinun S.', 'Bumphenkiattikul P.', 'Vongachariya A.', 'Praserthdam P.', 'Assabumrungrat S.']",0,6
['Jittiang B.'],0,1
"['Gideon D.A.', 'Annadurai P.', 'Parashar A.', 'Murthy R.G.', 'Dhandayuthapani K.', 'Srinivasan S.', 'Sivaramakrishnan R.', 'Jasmine R.']",0,8
"['Puenpa J.', 'Saengdao N.', 'Khanarat N.', 'Korkong S.', 'Chansaenroj J.', 'Yorsaeng R.', 'Wanlapakorn N.', 'Poovorawan Y.']",1,8
"['Zhao X.', 'Liu M.', 'Wang Y.', 'Xiong Y.', 'Yang P.', 'Qin J.', 'Xiong X.', 'Lei Y.']",25,8
"['Mousa R.F.', 'Smesam H.N.', 'Qazmooz H.A.', 'Al-Hakeim H.K.', 'Maes M.']",7,5
"['Suemanotham N.', 'Photcharatinnakorn P.', 'Chantong B.', 'Buranasinsup S.', 'Phochantachinda S.', 'Sakcamduang W.', 'Reamtong O.', 'Thiangtrongjit T.', 'Chatchaisak D.']",1,9
"['Boonchutima S.', 'Sankosik A.']",1,2
['Chao S.-Y.'],0,1
['Wantanasombut A.'],1,1
"['Chenrai P.', 'Assawincharoenkij T.', 'Jitmahantakul S.', 'Chaiseanwang P.']",1,4
"['Thaiyal Nayahi N.', 'Ou B.', 'Liu Y.', 'Janjaroen D.']",7,4
"['Laokitpanich J.', 'Senivongse T.']",0,2
"['Janrod M.', 'Srisa-Art M.']",0,2
"['Chuenjai M.', 'Wongsakulphasatch S.', 'Yong N.', 'Maneeprakorn W.', 'Sudsakorn K.', 'Tongnan V.', 'Hartley U.W.', 'Ratchahat S.', 'Kiatkittipong W.', 'Assabumrungrat S.']",2,10
"['Sukprakun C.', 'Tepmongkol S.']",0,2
"['Kumpunya S.', 'Thim-uam A.', 'Thumarat C.', 'Leelahavanichkul A.', 'Kalpongnukul N.', 'Chantaravisoot N.', 'Pisitkun T.', 'Pisitkun P.']",0,8
"['Biasi A.', 'Evnin O.', 'Sypsas S.']",1,3
"['Choovuthayakorn J.', 'Chokesuwattanaskul S.', 'Phinyo P.', 'Hansapinyo L.', 'Pathanapitoon K.', 'Chaikitmongkol V.', 'Watanachai N.', 'Kunavisarut P.', 'Patikulsila D.']",1,9
"['Truong V.-H.', 'Pham H.-A.', 'Huynh Van T.', 'Tangaramvong S.']",2,4
"['Sakama S.', 'Chanthanumataporn M.', 'Hanamura K.']",2,3
"['Chen M.', 'Gao H.', 'Sema T.', 'Xiao M.', 'Sun Q.', 'Liang Z.']",5,6
"['Tang J.', 'Niu J.', 'Yang C.', 'Rajendran S.', 'Lei Y.', 'Sawangphruk M.', 'Zhang X.', 'Qin J.']",2,8
"['Simon A.P.', 'de Lima A.S.', 'Santos V.A.Q.', 'Santos J.S.', 'Trivinho-Strixino F.', 'Sikora M.S.']",0,6
"['Sanguanphun T.', 'Sornkaew N.', 'Malaiwong N.', 'Chalorak P.', 'Jattujan P.', 'Niamnont N.', 'Sobhon P.', 'Meemon K.']",5,8
"['Slatter N.L.', 'Vichanpol B.', 'Natakaranakul J.', 'Wattanavichien K.', 'Suchamalawong P.', 'Hashimoto K.', 'Tsubaki N.', 'Vitidsant T.', 'Charusiri W.']",0,9
"['Phunpee S.', 'Ruktanonchai U.R.', 'Chirachanchai S.']",3,3
"['Goodwin D.', 'Holman I.', 'Sutcliffe C.', 'Salmoral G.', 'Pardthaisong L.', 'Visessri S.', 'Ekkawatpanit C.', 'Rey D.']",2,8
"['Janpum C.', 'Pombubpa N.', 'Monshupanee T.', 'Incharoensakdi A.', 'In-na P.']",1,5
"['Abishev M.', 'Abylayeva A.', 'Addazi A.', 'Aldabergenov Y.', 'Berkimbayev D.']",0,5
"['Kumar P.', 'Arumugam M.', 'Jagannathan M.', 'Maia G.', 'Praserthdam S.', 'Praserthdam P.']",6,6
"['Abbasi A.', 'Xu Y.', 'Abouzari-Lotf E.', 'Etesami M.', 'Khezri R.', 'Risse S.', 'Kardjilov N.', 'Van Tran K.', 'Jia H.', 'Somwangthanaroj A.', 'Manke I.', 'Lu Y.', 'Kheawhom S.']",9,13
"['Rittiruam M.', 'Buapin P.', 'Saelee T.', 'Khajondetchairit P.', 'Kheawhom S.', 'Alling B.', 'Praserthdam S.', 'Ektarawong A.', 'Praserthdam P.']",3,9
"['Shanmugaraj B.', 'Jirarojwattana P.', 'Phoolcharoen W.']",1,3
"['Tsuppayakorn-Aek P.', 'Bovornratanaraks T.', 'Ahuja R.', 'Luo W.', 'Kotmool K.']",1,5
"['Wu R.', 'Jing L.', 'Liu Y.', 'Wang H.', 'Yang J.']",2,5
"['Eang C.', 'Nim B.', 'Opaprakasit M.', 'Petchsuk A.', 'Opaprakasit P.']",2,5
"['Ridtitid W.', 'Faknak N.', 'Mekritthikrai K.', 'Rerknimitr R.']",0,4
"['Thongnopkun P.', 'Wongravee K.', 'Pienpinijtham P.', 'Phlayrahan A.']",0,4
"['Wongmoon C.', 'Napathorn S.C.']",2,2
"['de Luna M.C.T.', 'Yang Q.', 'Agus A.', 'Ito S.', 'Idrus Z.', 'Iman R.H.S.', 'Jattuchai J.', 'Lane E.', 'Nuggehalli J.', 'Hartcher K.', 'Sinclair M.']",0,11
"['Bacon P.', 'Usayapant N.']",0,2
"['Han M.', 'Sriamorn K.', 'Yang Q.', 'Zong C.']",0,4
"['Annuur R.M.', 'Saetan T.', 'Sukwattanasinitt M.', 'Wacharasindhu S.']",0,4
"['Hanittinan O.', 'Rattanapisit K.', 'Malla A.', 'Tharakhet K.', 'Ketloy C.', 'Prompetchara E.', 'Phoolcharoen W.']",2,7
"['Cavalleri S.A.E.', 'Tanwattana P.', 'Grunbuhel C.M.']",0,3
"['Kang L.', 'Dai J.', 'Wang Y.', 'Shi P.', 'Zou Y.', 'Pei J.', 'Tian Y.', 'Zhang J.', 'Buranasudja V.C.', 'Chen J.', 'Cai H.', 'Gao X.', 'Lin Z.']",0,13
