,title,authors,affiliations,citedby,mainterms,subject_areas,publisher,Year
0,Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening,"['Boobphahom S.', 'Rodthongkum N.']","['Metallurgy and Materials Research Institute Chulalongkorn University', 'Chulalongkorn University', 'Institute of Molecular Biosciences, Mahidol University']",0.0,"['Alginate hydrogels', 'Alzheimers disease', 'Colorimetric sensors', 'Disease screening', 'Graphene oxides', 'Hydrogel colorimetric sensor', 'Indicator displacement assays', 'PV/cu2+-GO/alg hydrogel', 'Pyrocatechol violet', 'Urinary cysteine']","['Structural Biology', 'Biochemistry', 'Molecular Biology']",Elsevier B.V.,2023
1,"Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)2·2H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies","['Chauhan C.', 'Kumar R.', 'Saini A.', 'Kumar R.', 'Kumar J.', 'Kumar S.', 'Aree T.']","['Institute of Nano Science and Technology, Mohali', 'Chulalongkorn University', 'Himachal Pradesh University', 'Punjabi University', 'M.L.K. (P.G.) College']",0.0,"['Coordination behavior', 'Coordination complex', 'Copper(II)', 'Hirshfeld calculation', 'Molecular docking', 'Second sphere coordination', 'Single crystal X-ray', 'Single crystal x-ray structures', 'Triethanolamines', 'X-ray structure determinations']","['Analytical Chemistry', 'Spectroscopy', 'Organic Chemistry', 'Inorganic Chemistry']",Elsevier B.V.,2023
2,Total ammonia nitrogen removal and microbial community dynamics in an outdoor HDPE-lined shrimp pond with no water discharge,"['Satanwat P.', 'Tapaneeyaworawong P.', 'Wechprasit P.', 'Boonprasertsakul T.', 'Pungrasmi W.', 'Sritunyalucksana K.', 'Prachumwat A.', 'Powtongsook S.']","['Chulalongkorn University', 'Mahidol University', 'Thailand National Center for Genetic Engineering and Biotechnology']",0.0,[],['Aquatic Science'],Elsevier B.V.,2023
3,"Effects of microaeration and sludge recirculation on VFA and nitrogen removal, membrane fouling reduction and microbial community of the anaerobic baffled biofilm-membrane bioreactor in treating building wastewater","['Buakaew T.', 'Ratanatamskul C.']",['Chulalongkorn University'],0.0,"['Anaerobics', 'Anerobic baffled biofilm–MBR', 'Biofilm-MBR', 'Fouling reduction', 'Membrane bioreactor system', 'Membrane fouling reduction', 'Microaeration', 'Microbial communities', 'Sludge recirculation', 'VFA and nitrogen removal']","['Environmental Engineering', 'Environmental Chemistry', 'Waste Management and Disposal', 'Pollution']",Elsevier B.V.,2023
4,"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India","['Patchaiyappan A.', 'Arulkumar A.', 'Shynshiang K.', 'Anandkumar A.', 'Prabakaran K.', 'Basu A.', 'Sivasankar R.', 'Devipriya S.']","['Pondicherry University', 'Cochin University of Science and Technology', 'Chulalongkorn University', 'Institut Francais de Pondichery', 'King Fahd University of Petroleum and Minerals', 'Louisiana State University', 'Bar-Ilan University', 'CWF Labs: Transdisciplinary Healthcare &amp; Research']",0.0,[],"['Ecology, Evolution, Behavior and Systematics', 'Aquatic Science', 'Ecology', 'Animal Science and Zoology']",Elsevier B.V.,2023
5,"A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation","['Urumarudappa S.K.J.', 'Rosario S.', 'G R.', 'Sukrong S.']","['Chulalongkorn University', 'Ashoka Trust for Research in Ecology and the Environment', 'University of Agricultural Sciences, Bangalore']",0.0,"['Ethnopharmacology', 'Fabaceae', 'Medicine, Traditional', 'Phytochemicals', 'Phytotherapy', 'Plant Extracts', 'Plants, Medicinal']","['Pharmacology', 'Drug Discovery']",Elsevier Ireland Ltd,2023
6,Potential natural antimicrobial and antibiofilm properties of Piper betle L. against Staphylococcus pseudintermedius and methicillin-resistant strains,"['Jantorn P.', 'Tipmanee V.', 'Wanna W.', 'Prapasarakul N.', 'Visutthi M.', 'Sotthibandhu D.S.']","['Prince of Songkla University', 'Nakhonratchasima Rajabhat University', 'Chulalongkorn University', 'Faculty of Medicine, Prince of Songkia University']",0.0,"['Animals', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Bacteria', 'Biofilms', 'Dogs', 'Methicillin Resistance', 'Microbial Sensitivity Tests', 'Molecular Docking Simulation', 'Piper betle', 'Staphylococcal Infections', 'Staphylococcus pseudintermedius']","['Pharmacology', 'Drug Discovery']",Elsevier Ireland Ltd,2023
7,Rice straw-derived smoke water promotes rice root growth under phosphorus deficiency by modulating oxidative stress and photosynthetic gene expression,"['Pinit S.', 'Ariyakulkiat L.', 'Chaiwanon J.']","['Naresuan University', 'Chulalongkorn University']",0.0,[],['Multidisciplinary'],Nature Research,2023
8,Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example,"['Thanayutsiri T.', 'Ruttanakorn K.', 'Laiwattanapaisal W.', 'Fernandez R.G.', 'Rojanarata T.']","['Chulalongkorn University', 'Silpakorn University', 'The Programmer']",0.0,[],"['Environmental Chemistry', 'Pollution', 'Pharmaceutical Science', 'Management, Monitoring, Policy and Law']",Elsevier B.V.,2023
9,Targeted sequencing analysis pipeline for species identification of human pathogenic fungi using long-read nanopore sequencing,"['Langsiri N.', 'Worasilchai N.', 'Irinyi L.', 'Jenjaroenpun P.', 'Wongsurawat T.', 'Luangsa-ard J.J.', 'Meyer W.', 'Chindamporn A.']","['Chulalongkorn University', 'Siriraj Hospital', 'Curtin Medical School', 'UAMS College of Medicine', 'The University of Sydney', 'Thailand National Center for Genetic Engineering and Biotechnology', 'Faculty of Medicine and Health', 'Faculty of Medicine, Chulalongkorn University', 'Westerdijk Fungal Biodiversity Institute - KNAW']",0.0,[],"['Ecology, Evolution, Behavior and Systematics', 'Agricultural and Biological Sciences (miscellaneous)']",BioMed Central Ltd,2023
10,Responding to an unprecedented shock — Elucidating how 113 DMOs changed the marketing communications on Twitter during the COVID-19 crisis,"['Taecharungroj V.', 'Pattaratanakun A.']","['Chulalongkorn Business School', 'Mahidol University']",0.0,[],"['Business and International Management', 'Tourism, Leisure and Hospitality Management', 'Strategy and Management', 'Marketing']",Elsevier Ltd,2023
11,Calcium phosphate ceramic as a model for enamel substitute material in dental applications,"['Rujiraprasert P.', 'Suriyasangpetch S.', 'Srijunbarl A.', 'Singthong T.', 'Makornpan C.', 'Nampuksa K.', 'Osathanon T.', 'Nantanapiboon D.', 'Monmaturapoj N.']","['Chulalongkorn University', 'Mahidol University, Faculty of Dentistry', 'Thailand National Science and Technology Development Agency']",0.0,[],['Dentistry (all)'],Springer Nature,2023
12,Matrices-charges of agar-alginate crosslinked microcapsules via o/w microemulsion: A non-spore forming probiotic bacteria encapsulation system for extensive viability,"['Vimon S.', 'Kertsomboon T.', 'Chirachanchai S.', 'Angkanaporn K.', 'Nuengjamnong C.']",['Chulalongkorn University'],0.0,"['Agar', 'Condition', 'Ionic crosslink', 'Lactobacillus plantarum', 'Lactobacillus plantarum mb001', 'Microcapsules', 'O/W microemulsions', 'O=w microemulsions', 'Probiotic bacteria', 'Probiotics']","['Organic Chemistry', 'Polymers and Plastics', 'Materials Chemistry']",Elsevier Ltd,2023
13,Metal ion removal using a low-cost coconut shell activated carbon bioadsorbent in the recovery of lactic acid from the fermentation broth,"['Wongvitvichot W.', 'Thitiprasert S.', 'Thongchul N.', 'Chaisuwan T.']","['Chulalongkorn University', 'Center of Excellence on Petrochemical and Materials Technology']",0.0,"['Bioadsorbent', 'Carboxymethyl cellulose', 'Coconut shell activated carbon', 'Coconut shells', 'Down-stream', 'Fermentation broths', 'Lactic acid recovery', 'Low-costs', 'Metal ion removal', 'Thermodynamics and kinetics']","['Biotechnology', 'Food Science', 'Biomedical Engineering', 'Renewable Energy, Sustainability and the Environment']",Springer,2023
14,Deciphering migraine pain mechanisms through electrophysiological insights of trigeminal ganglion neurons,"['Vongseenin S.', 'Ha-ji-a-sa N.', 'Thanprasertsuk S.', 'Bongsebandhu-phubhakdi S.']","['Chulalongkorn University', 'King Chulalongkorn Memorial Hospital', 'Faculty of Medicine, Chulalongkorn University']",0.0,"['Animals', 'Hyperalgesia', 'Migraine Disorders', 'Neurons', 'Pain', 'Paresthesia', 'Rats', 'Serotonin', 'Trigeminal Ganglion']",['Multidisciplinary'],Nature Research,2023
15,Scale development to measure the patient perception of patient-centered care of dentists in primary care settings of Thailand: a measurement invariance test,"['Khamnil Y.', 'Kao-iean S.', 'Pisarnturakit P.P.']",['Chulalongkorn University'],0.0,"['Dentists', 'Humans', 'Patient-Centered Care', 'Perception', 'Reproducibility of Results', 'Thailand']",['Dentistry (all)'],BioMed Central Ltd,2023
16,Long-term benefit of DAAs on gut dysbiosis and microbial translocation in HCV-infected patients with and without HIV coinfection,"['Chuaypen N.', 'Jinato T.', 'Avihingsanon A.', 'Nookaew I.', 'Tanaka Y.', 'Tangkijvanich P.']","['Faculty of Medicine, Chulalongkorn University', 'UAMS College of Medicine', 'Kumamoto University', 'The HIV Netherlands Australia Thailand Research Collaboration']",0.0,"['Antiviral Agents', 'Clostridiales', 'Coenzyme A-Transferases', 'Dysbiosis', 'Hepacivirus', 'Hepatitis C', 'Hepatitis C, Chronic', 'HIV Infections', 'Humans', 'Longitudinal Studies', 'RNA, Ribosomal, 16S']",['Multidisciplinary'],Nature Research,2023
17,"Methylene blue degradation under visible light of Au-DP25/PET and Cu-DP25/PET photocatalytic films, synthesized through two wet impregnation routes – An experimental and theoretical evaluation","['Cheunwisat P.', 'Kraiwattanawong K.', 'Saelee T.', 'Rittiruam M.', 'Praserthdam S.', 'Praserthdam P.', 'Paz C.V.', 'Salazar-Villanueva M.']","['Chulalongkorn University', 'Benemerita Universidad Autonoma de Puebla', ""King Mongkut's Institute of Technology Ladkrabang""]",0.0,"['Au and cu2O decoration', 'Dp25', 'Methylene Blue', 'Methylene blue degradations', 'PET films', 'PET support', 'Photocatalytic activities', 'Photocatalytic film', 'Visible light', 'Wet impregnation method']","['Materials Science (all)', 'Mechanics of Materials', 'Materials Chemistry']",Elsevier Ltd,2023
18,Sulfur metabolism in durian pulps: Factors contributing to the production of volatile sulfur compounds during fruit ripening,"['Pinsorn P.', 'Sanachai K.', 'Rungrotmongkol T.', 'Hoefgen R.', 'Watanabe M.', 'Brueckner F.', 'Nakabayashi R.', 'Mori T.', 'Oikawa A.', 'Sasaki R.', 'Sucharitakul J.', 'Saito K.', 'Sirikantaramas S.']","['Chulalongkorn University', 'RIKEN Center for Sustainable Resource Science', 'Graduate School of Agriculture', 'Max Planck Institute of Molecular Plant Physiology', 'Nara Institute of Science and Technology', 'Khon Kaen University']",0.0,[],"['Food Science', 'Agronomy and Crop Science', 'Horticulture']",Elsevier B.V.,2023
19,Osteogenic induction of asiatic acid derivatives in human periodontal ligament stem cells,"['Thamnium S.', 'Laomeephol C.', 'Pavasant P.', 'Osathanon T.', 'Tabata Y.', 'Wang C.', 'Luckanagul J.A.']","['Chulalongkorn University', 'Institute for Frontier Life and Medical Sciences', 'Xihua University', 'Chengdu Institute of Biology Chinese Academy of Sciences']",0.0,"['Bone and Bones', 'Humans', 'Osteogenesis', 'Pentacyclic Triterpenes', 'Periodontal Ligament']",['Multidisciplinary'],Nature Research,2023
20,A novel simplified method for extraction of microplastic particles from face scrub and laundry wastewater,"['Shalumon C.S.', 'Ratanatamskul C.']",['Chulalongkorn University'],0.0,[],['Multidisciplinary'],Nature Research,2023
21,"Author Correction: Effect of plant produced Anti-hIL-6 receptor antibody blockade on pSTAT3 expression in human peripheral blood mononuclear cells (Scientific Reports, (2023), 13, 1, (11927), 10.1038/s41598-023-39106-5)","['Kaewbandit N.', 'Malla A.', 'Boonyayothin W.', 'Rattanapisit K.', 'Phetphoung T.', 'Pisuttinusart N.', 'Strasser R.', 'Saetung R.', 'Tawinwung S.', 'Phoolcharoen W.']","['Chulalongkorn University', 'Universitat fur Bodenkultur Wien', 'Ltd.']",0.0,[],['Multidisciplinary'],Nature Research,2023
22,In vitro and in vivo studies of plant-produced Atezolizumab as a potential immunotherapeutic antibody,"['Rattanapisit K.', 'Bulaon C.J.I.', 'Strasser R.', 'Sun H.', 'Phoolcharoen W.']","['Chulalongkorn University', 'Universitat fur Bodenkultur Wien', 'Ltd.', 'Ltd.']",0.0,"['Animals', 'Antibodies, Monoclonal, Humanized', 'Enzyme-Linked Immunosorbent Assay', 'Immunotherapy', 'Mammals', 'Mice', 'Tobacco']",['Multidisciplinary'],Nature Research,2023
23,"Separation of the Chlorofluorocarbon (CFC) CCl2F2 from N2 in NaY Zeolite, in MIL-127(Fe) and in the two Carbon Nanotubes CNT (9,9) and CNT (11,11)","['Chokbunpiam T.', 'Fritzsche S.', 'Ploymeerusmee T.', 'Chanajaree R.', 'Thompho S.', 'Janke W.', 'Hannongbua S.']","['Chulalongkorn University', 'Metallurgy and Materials Research Institute Chulalongkorn University', 'Ramkhamhaeng University', 'Universität Leipzig']",0.0,"['Arrhenius law', 'Carbon nanotubes (CNT)', 'Enthalpy of adsorption', 'Henry coefficients', 'High selectivity', 'Metalorganic frameworks (MOFs)', 'Molecular simulations', ""Monte Carlo's simulation"", 'NaY zeolite', 'Selective adsorption']","['Spectroscopy', 'Physical and Theoretical Chemistry', 'Computer Graphics and Computer-Aided Design', 'Materials Chemistry']",Elsevier Inc.,2023
24,Label-free tumor cells classification using deep learning and high-content imaging,"['Piansaddhayanon C.', 'Koracharkornradt C.', 'Laosaengpha N.', 'Tao Q.', 'Ingrungruanglert P.', 'Israsena N.', 'Chuangsuwanich E.', 'Sriswasdi S.']","['Faculty of Medicine, Chulalongkorn University', 'Chulalongkorn University', 'NVIDIA']",0.0,"['Area Under Curve', 'Cell Line, Tumor', 'Deep Learning', 'Humans', 'Microscopy', 'Neoplasms']","['Statistics and Probability', 'Information Systems', 'Education', 'Computer Science Applications', 'Statistics, Probability and Uncertainty', 'Library and Information Sciences']",Nature Research,2023
25,Association between oral hypofunction and general health: a systematic review,"['Limpuangthip N.', 'Komin O.']",['Chulalongkorn University'],0.0,"['Aged', 'Cognitive Dysfunction', 'Databases, Factual', 'Frailty', 'Health Status', 'Humans', 'Systematic Reviews as Topic']",['Dentistry (all)'],BioMed Central Ltd,2023
26,Neuroprotective effect of nose-to-brain delivery of Asiatic acid in solid lipid nanoparticles and its mechanisms against memory dysfunction induced by Amyloid Beta1-42 in mice,"['Islamie R.', 'Myint S.L.L.', 'Rojanaratha T.', 'Ritthidej G.', 'Wanakhachornkrai O.', 'Wattanathamsan O.', 'Rodsiri R.']","['Chulalongkorn University', 'Thai Red Cross Agency', 'Rangsit University']",0.0,"['Alzheimer Disease', 'Amyloid beta-Peptides', 'Animals', 'Brain', 'Mice', 'Neuroprotective Agents']",['Complementary and Alternative Medicine'],BioMed Central Ltd,2023
27,Bio-green synthesis of calcium acetate from oyster shell waste at low cost and reducing the emission of greenhouse gases,"['Seesanong S.', 'Seangarun C.', 'Boonchom B.', 'Laohavisuti N.', 'Thompho S.', 'Boonmee W.', 'Mongkol S.', 'Rungrojchaipon P.']","[""King Mongkut's Institute of Technology Ladkrabang"", 'Chulalongkorn University']",0.0,"['Biological wastes', 'Biowastes', 'Calcium acetate', 'Carbonate stone', 'Drying time', 'Green synthesis', 'Greenhouses gas', 'Low-costs', 'Oyster shell', 'Oyster-shell waste']","['Environmental Engineering', 'Renewable Energy, Sustainability and the Environment', 'Water Science and Technology', 'Waste Management and Disposal', 'Pollution']",BioMed Central Ltd,2023
28,Impact of late gadolinium-enhanced cardiac MRI on arrhythmic and mortality outcomes in nonischemic dilated cardiomyopathy: updated systematic review and meta-analysis,"['Theerasuwipakorn N.', 'Chokesuwattanaskul R.', 'Phannajit J.', 'Marsukjai A.', 'Thapanasuta M.', 'Klem I.', 'Chattranukulchai P.']","['Faculty of Medicine, Chulalongkorn University', 'Duke University School of Medicine']",0.0,"['Cardiomyopathy, Dilated', 'Cicatrix', 'Contrast Media', 'Gadolinium', 'Humans', 'Magnetic Resonance Imaging', 'Stroke Volume', 'Ventricular Function, Left']",['Multidisciplinary'],Nature Research,2023
29,"Pimobendan prevents cardiac dysfunction, mitigates cardiac mitochondrial dysfunction, and preserves myocyte ultrastructure in a rat model of mitral regurgitation","['Boonpala P.', 'Saengklub N.', 'Srikam S.', 'Ji-au W.', 'Panyasing Y.', 'Kumphune S.', 'Kijtawornrat A.']","['Chulalongkorn University', 'Chiang Mai University', 'King Chulalongkorn Memorial Hospital', 'Mahidol University', 'Faculty of Medicine, Chulalongkorn University']",0.0,"['Animals', 'Dog Diseases', 'Dogs', 'Hydrogen Peroxide', 'Mitochondria', 'Mitral Valve Insufficiency', 'Muscle Cells', 'Rats', 'Rats, Sprague-Dawley', 'Reactive Oxygen Species', 'Rodent Diseases']",['Veterinary (all)'],BioMed Central Ltd,2023
30,"Correlations between histopathologic findings, serum biomarker levels, and clinical outcomes in Stevens–Johnson syndrome/toxic epidermal necrolysis (SJS/TEN)","['Chuenwipasakul D.', 'Washrawirul C.', 'Panpruk R.', 'Wititsuwannakul J.', 'Charoenchaipiyakul K.', 'Buranapraditkun S.', 'Puangsricharern V.', 'Klaewsongkram J.', 'Rerknimitr P.']","['Faculty of Medicine, Chulalongkorn University', 'Chonburi Regional Hospital', 'Chulalongkorn University', 'King Chulalongkorn Memorial Hospital']",0.0,"['Calgranulin A', 'CD8-Positive T-Lymphocytes', 'Humans', 'Necrosis', 'Retrospective Studies', 'Stevens-Johnson Syndrome']",['Multidisciplinary'],Nature Research,2023
31,Undrained stability of braced excavations in clay considering the nonstationary random field of undrained shear strength,"['Tanapalungkorn W.', 'Yodsomjai W.', 'Keawsawasvong S.', 'Nguyen T.S.', 'Chim-Oye W.', 'Jongpradist P.', 'Likitlersuang S.']","['Thammasat University', 'Chulalongkorn University', ""King Mongkut's University of Technology Thonburi""]",0.0,[],['Multidisciplinary'],Nature Research,2023
32,Commercial scale production of Yamabushitake mushroom (Hericium erinaceus (Bull.) Pers. 1797) using rubber and bamboo sawdust substrates in tropical regions,"['Chutimanukul P.', 'Phatthanamas W.', 'Thepsilvisut O.', 'Chantarachot T.', 'Thongtip A.', 'Chutimanukul P.']","['Chulalongkorn University', 'Thammasat University', 'Thailand National Center for Genetic Engineering and Biotechnology']",0.0,"['Agaricales', 'Carbon', 'Hericium', 'Hericium erinaceus', 'Rubber']",['Multidisciplinary'],Nature Research,2023
33,Development of eco-friendly antifungal and antibacterial adhesive derived from modified cassava starch waste/polyvinyl alcohol containing green synthesized nano-silver,"['Jarensungnen C.', 'Jetsrisuparb K.', 'Phanthanawiboon S.', 'Theerakulpisut S.', 'Hiziroglu S.', 'Knijnenburg J.T.N.', 'Okhawilai M.', 'Kasemsiri P.']","['Khon Kaen University', 'Khon Kaen University International College', 'Metallurgy and Materials Research Institute Chulalongkorn University', 'Chulalongkorn University', 'Faculty of Medicine, Khon Kaen University', 'Oklahoma State University']",0.0,"['Anti-Bacterial Agents', 'Antifungal Agents', 'Manihot', 'Metal Nanoparticles', 'Polyvinyl Alcohol', 'Silver', 'Starch', 'Tannins']",['Multidisciplinary'],Nature Research,2023
34,Effects of death anxiety and aggression on life satisfaction in the COVID-19 era: Comparisons between different generations and different socioeconomic statuses in Thailand,['Chaiwutikornwanich A.'],['Chulalongkorn University'],0.0,[],['Psychology (all)'],Elsevier Ltd,2023
35,Highly effective removal of perfluorooctanoic acid (PFOA) in water with DBD-plasma-enhanced rice husks,"['Sahara T.', 'Wongsawaeng D.', 'Ngaosuwan K.', 'Kiatkittipong W.', 'Hosemann P.', 'Assabumrungrat S.']","['Chulalongkorn University', 'Rajamangala University of Technology Krungthep', 'University of California, Berkeley', 'Silpakorn University']",0.0,[],['Multidisciplinary'],Nature Research,2023
36,Bifunctional mesoporous silica solid acids for transformation of glucose to 5-hydroxymethylfurfural,"['Srida M.', 'Chen S.-Y.', 'Smith S.M.', 'Ngamcharussrivichai C.', 'Boonyuen S.', 'Tateno H.', 'Mochizuki T.', 'Luengnaruemitchai A.']","['Chulalongkorn University', 'Center of Excellence on Petrochemical and Materials Technology', 'National Institute of Advanced Industrial Science and Technology', 'Mahidol University', 'Thammasat University']",0.0,"['5 hydroxymethyl furfurals', 'Acid site', 'Acid site control', 'Bi-functional', 'Brønsted acid', 'Lewis Acid', 'Mesoporous silicas', 'Site controls', 'Solid acid', ']+ catalyst']","['Chemistry (all)', 'Renewable Energy, Sustainability and the Environment', 'Materials Science (all)']",Elsevier Ltd,2023
37,The prevalence and economic burden of treatment-resistant depression in Thailand,"['Prasartpornsirichoke J.', 'Pityaratstian N.', 'Poolvoralaks C.', 'Sirinimnualkul N.', 'Ormtavesub T.', 'Hiranwattana N.', 'Phonsit S.', 'Rungnirundorn T.']","['King Chulalongkorn Memorial Hospital', 'Faculty of Medicine, Chulalongkorn University', 'University College London', 'Kasetsart University']",0.0,"['Antidepressive Agents', 'Cross-Sectional Studies', 'Depression', 'Depressive Disorder, Major', 'Financial Stress', 'Health Care Costs', 'Humans', 'Prevalence', 'Retrospective Studies', 'Thailand']","['Public Health, Environmental and Occupational Health']",BioMed Central Ltd,2023
38,Development of Ni–Mo carbide catalyst for production of syngas and CNTs by dry reforming of biogas,"['Saconsint S.', 'Srifa A.', 'Koo-Amornpattana W.', 'Assabumrungrat S.', 'Sano N.', 'Fukuhara C.', 'Ratchahat S.']","['Department of Chemical Engineering', 'Shizuoka University', 'Chulalongkorn University', 'Mahidol University']",0.0,[],['Multidisciplinary'],Nature Research,2023
39,Quantitative microbial risk assessment of the gastrointestinal risks to swimmers at Southeast Asian urban beaches using site-specific and combined autochthonous and fecal bacteria exposure data,"['Denpetkul T.', 'Pumkaew M.', 'Sittipunsakda O.', 'Sresung M.', 'Chyerochana N.', 'Kongprajug A.', 'Rattanakul S.', 'Patarapongsant Y.', 'Mongkolsuk S.', 'Sirikanchana K.']","['Laboratory of Biotechnology', 'Faculty of Tropical Medicine, Mahidol University', 'Sasin School of Management, Bangkok', 'Thailand Ministry of Education', 'Mahidol University', ""King Mongkut's University of Technology Thonburi""]",0.0,"['Autochthonoi pathogen', 'Exposure data', 'Faecal indicator bacteria', 'Fecal bacteria', 'Gastrointestinal', 'Marine waters', 'Quantitative microbial risk assessment', 'Site-specific', 'Swimmer', 'Urban beaches']","['Environmental Engineering', 'Environmental Chemistry', 'Waste Management and Disposal', 'Pollution']",Elsevier B.V.,2023
40,"Immunogenicity of BNT162b2 in children 6 months to under 5 years of age with previous SARS-CoV-2 infection, in the era of Omicron predominance","['Nantanee R.', 'Jaru-Ampornpan P.', 'Chantasrisawad N.', 'Himananto O.', 'Papakhee S.', 'Sophonphan J.', 'Tawan M.', 'Jupimai T.', 'Anugulruengkitt S.', 'Puthanakit T.']","['Faculty of Medicine, Chulalongkorn University', 'Thailand National Center for Genetic Engineering and Biotechnology', 'King Chulalongkorn Memorial Hospital']",0.0,[],"['Molecular Medicine', 'Immunology and Microbiology (all)', 'Veterinary (all)', 'Public Health, Environmental and Occupational Health', 'Infectious Diseases']",Elsevier Ltd,2023
41,DFT insight into metals and ligands substitution effects on reactivity of phenoxy-imine catalysts for ethylene polymerization,"['Apilardmongkol P.', 'Ratanasak M.', 'Hasegawa J.-Y.', 'Parasuk V.']","['Chulalongkorn University', 'Hokkaido University']",0.0,"['DFT calculation', 'Energy', 'Ethylene polymerization', 'FI catalyst', 'Metal substitution', 'Octahedral geometry', 'Phenoxy-imine', 'Rate determining step', 'Reaction mechanism', ']+ catalyst']","['Spectroscopy', 'Physical and Theoretical Chemistry', 'Computer Graphics and Computer-Aided Design', 'Materials Chemistry']",Elsevier Inc.,2023
42,Design and development of a magnetic field-enabled platform for delivering polymer-coated iron oxide nanoparticles to breast cancer cells,"['Bulatao B.P.', 'Nalinratana N.', 'Jantaratana P.', 'Vajragupta O.', 'Rojsitthisak P.', 'Rojsitthisak P.']","['Chulalongkorn University', 'Metallurgy and Materials Research Institute Chulalongkorn University', 'University of the Philippines Manila', 'Kasetsart University']",0.0,[],"['Clinical Biochemistry', 'Medical Laboratory Technology']",Elsevier B.V.,2023
43,"After morning, phew! A knowledge, attitudes, and practices survey related to emergency oral contraception in Thai pharmacists","['Leelakanok N.', 'Kangwanrattanakul K.', 'Petchsomrit A.', 'Sapapsap B.', 'Siritientong T.', 'Methaneethorn J.']","['Burapha University', 'Chulalongkorn University', 'Naresuan University']",0.0,[],"['Pharmacy', 'Health Policy']",BioMed Central Ltd,2023
44,Development of alantolactone-loaded zein and shellac nanoparticles for controlled release in simulated gastrointestinal digestion,"['Yu H.', 'Ge X.', 'Kong J.', 'Sun Y.', 'Mao M.', 'Liu J.', 'Ye J.', 'Arora A.', 'Suppavorasatit I.', 'Wang Y.']","['College of Biosystems Engineering and Food Science', 'Chulalongkorn University', 'Harbin Institute of Technology', 'Indian Institute of Technology Bombay', 'Zhejiang University']",0.0,"['Alantolactone', 'Anti-tumors', 'Clinical application', 'Composite nanoparticles', 'Controlled release', 'Further development', 'Gastrointestinal digestion', 'Gastrointestinal systems', 'Sesquiterpene lactones', 'Solubility range']",['Food Science'],Elsevier Ltd,2023
45,How do prolonged anchorage-free lifetimes strengthen non-small-cell lung cancer cells to evade anoikis? – A link with altered cellular metabolomics,"['Sungthong R.', 'Khine H.E.E.', 'Sumkhemthong S.', 'Chanvorachote P.', 'Tansawat R.', 'Chaotham C.']","['Chulalongkorn University', 'Eastern Asia University']",0.0,"['Anoikis', 'Carcinoma, Non-Small-Cell Lung', 'Cell Line, Tumor', 'Humans', 'Lung Neoplasms', 'Metabolomics']","['Biochemistry, Genetics and Molecular Biology (all)', 'Agricultural and Biological Sciences (all)']",BioMed Central Ltd,2023
46,Shape transformation of 4D printed edible insects triggered by thermal dehydration,"['Noree S.', 'Pinyakit Y.', 'Tunkijanansin N.', 'Kulsing C.', 'Hoven V.P.']",['Chulalongkorn University'],0.0,"['3-D printing', '3D-printing', 'Bi-layer structure', 'Edible insect', 'Fine resolution', 'Food designs', 'Future food', 'Shape transformation', 'Thermal dehydration', 'Thermal stimuli']",['Food Science'],Elsevier Ltd,2023
47,The effect of different hemostatic agents following dental extraction in patients under oral antithrombotic therapy: a network meta-analysis,"['Mahardawi B.', 'Jiaranuchart S.', 'Arunjaroensuk S.', 'Tompkins K.A.', 'Somboonsavatdee A.', 'Pimkhaokham A.']","['Chulalongkorn University', 'Chulalongkorn Business School']",0.0,"['Chitosan', 'Collagen', 'Cyanoacrylates', 'Fibrinolytic Agents', 'Hemostatics', 'Humans', 'Network Meta-Analysis', 'Oral Hemorrhage', 'Postoperative Hemorrhage', 'Tissue Adhesives', 'Tooth Extraction', 'Tranexamic Acid']",['Multidisciplinary'],Nature Research,2023
48,Seroprevalence of leptospirosis among blood donors in an endemic area,"['Limothai U.', 'Tachaboon S.', 'Dinhuzen J.', 'Singh J.', 'Jirawannaporn S.', 'Leewongworasingh A.', 'Thongpin M.', 'Brameld S.', 'Watanaboonyongcharoen P.', 'Sitprija V.', 'Tantawichien T.', 'Thisyakorn U.', 'Srisawat N.']","['Faculty of Medicine, Chulalongkorn University', 'King Chulalongkorn Memorial Hospital', 'Thai Red Cross Agency', 'Chulalongkorn University', 'University of Pittsburgh School of Medicine', 'Thailand Public Health Research Fellowship', 'National Institute of Health of Thailand', 'Academy of Science']",0.0,"['Antibodies, Bacterial', 'Blood Donors', 'Cross-Sectional Studies', 'Humans', 'Leptospira', 'Leptospirosis', 'Seroepidemiologic Studies']",['Multidisciplinary'],Nature Research,2023
