,title,authors,affiliations,citedby,mainterms,subject_areas,publisher,Year
2772,Determinants of Ride-Hailing Applications Adoption: How Travelers’ Characteristics and Attitudes Affect the Adoption of New Online Mobility Platforms in Bangkok?,"['Laosinwattana W.', 'Thaithatkul P.', 'Chalermpong S.']",['Chulalongkorn University'],2.0,"['Bangkok', 'Individual mobility', 'Mobility platform', 'Mobility systems', 'Questionnaire surveys', 'Ride-hailing application', 'Ride-sourcing service', 'Travel demand', 'Travel modes', 'Urban mobility']",['Civil and Structural Engineering'],Springer Science and Business Media Deutschland GmbH,2023
2773,Student academic performance in non-lecture physiology topics following the abrupt change from traditional on-site teaching to online teaching during COVID-19 pandemic,"['Varachotisate P.', 'Siritaweechai N.', 'Kositanurit W.', 'Thanprasertsuk S.', 'Chayanupatkul M.', 'Thongsricome T.', 'Bumphenkiatikul T.', 'Chuleerarux N.', 'Watanatada P.', 'Werawatganon D.', 'Somboonwong J.', 'Siriviriyakul P.', 'Sanguanrungsirikul S.', 'Bongsebandhu-Phubhakdi S.', 'Ratanasirisawad V.', 'Jaroenlapnopparat A.', 'Burana C.', 'Somsirivattana P.', 'Kulaputana O.', 'Kaikaew K.']","['Faculty of Medicine, Chulalongkorn University']",1.0,"['Academic Performance', 'COVID-19', 'Humans', 'Pandemics', 'Prospective Studies', 'Students']",['Education'],Taylor and Francis Ltd.,2023
2774,Introduction,"['Suppipat S.', 'Chotiratanapinun T.', 'Teachavorasinskun K.', 'Hu A.H.']","['Chulalongkorn University', 'Silpakorn University', 'National Taipei University of Technology']",0.0,"['Design industry', 'Design method', 'Design performance', 'Design tool', 'High educations', 'Life cycle thinking', 'Manufacturing industries', 'Sustainability issues']","['Biotechnology', 'Chemical Engineering (all)', 'Mathematics (all)', 'Materials Science (all)', 'Energy Engineering and Power Technology', 'Engineering (all)']",Springer Science and Business Media Deutschland GmbH,2023
2775,Summary,"['Suppipat S.', 'Chotiratanapinun T.', 'Teachavorasinskun K.', 'Hu A.H.']","['Chulalongkorn University', 'Silpakorn University', 'National Taipei University of Technology']",0.0,"['Background knowledge', 'Eco-efficiency', 'Industrial designers', 'Product design and development process', 'Production and consumption', 'Professional practise']","['Biotechnology', 'Chemical Engineering (all)', 'Mathematics (all)', 'Materials Science (all)', 'Energy Engineering and Power Technology', 'Engineering (all)']",Springer Science and Business Media Deutschland GmbH,2023
2776,Designer’s Guide for Life Cycle Assessment,"['Suppipat S.', 'Chotiratanapinun T.', 'Teachavorasinskun K.', 'Hu A.H.']","['Chulalongkorn University', 'Silpakorn University', 'National Taipei University of Technology']",1.0,['Environmental burdens'],"['Biotechnology', 'Chemical Engineering (all)', 'Mathematics (all)', 'Materials Science (all)', 'Energy Engineering and Power Technology', 'Engineering (all)']",Springer Science and Business Media Deutschland GmbH,2023
2777,Challenges and Opportunities of Implementing Simplified LCA Tools in Industrial Design Education,"['Suppipat S.', 'Chotiratanapinun T.', 'Teachavorasinskun K.', 'Hu A.H.']","['Chulalongkorn University', 'Silpakorn University', 'National Taipei University of Technology']",0.0,"['Design activity', 'Design Education', 'Industrial experience', 'Literature reviews', 'Product design and development process']","['Biotechnology', 'Chemical Engineering (all)', 'Mathematics (all)', 'Materials Science (all)', 'Energy Engineering and Power Technology', 'Engineering (all)']",Springer Science and Business Media Deutschland GmbH,2023
2778,LCA-based Tool Practice: Seven Steps for ErP Design Implementation,"['Suppipat S.', 'Chotiratanapinun T.', 'Teachavorasinskun K.', 'Hu A.H.']","['Chulalongkorn University', 'Silpakorn University', 'National Taipei University of Technology']",0.0,"['Concept development', 'Design implementation', 'Design-process', 'Functional units', 'Hotspots', 'Inventory data', 'Product systems']","['Biotechnology', 'Chemical Engineering (all)', 'Mathematics (all)', 'Materials Science (all)', 'Energy Engineering and Power Technology', 'Engineering (all)']",Springer Science and Business Media Deutschland GmbH,2023
2779,Social Aspect of Sustainability in the LCA Methodology,"['Suppipat S.', 'Chotiratanapinun T.', 'Teachavorasinskun K.', 'Hu A.H.']","['Chulalongkorn University', 'Silpakorn University', 'National Taipei University of Technology']",0.0,"['Environmental sustainability', 'Life cycle thinking']","['Biotechnology', 'Chemical Engineering (all)', 'Mathematics (all)', 'Materials Science (all)', 'Energy Engineering and Power Technology', 'Engineering (all)']",Springer Science and Business Media Deutschland GmbH,2023
2780,LCA-based Design Strategies and Simplified LCA Tools for Designers,"['Suppipat S.', 'Chotiratanapinun T.', 'Teachavorasinskun K.', 'Hu A.H.']","['Chulalongkorn University', 'Silpakorn University', 'National Taipei University of Technology']",0.0,"['Assessment methodologies', 'Data collection', 'Design practitioners', 'Design strategies', 'Design-process', 'Life-cycle assessment tools', 'Simplified life cycle assessment']","['Biotechnology', 'Chemical Engineering (all)', 'Mathematics (all)', 'Materials Science (all)', 'Energy Engineering and Power Technology', 'Engineering (all)']",Springer Science and Business Media Deutschland GmbH,2023
2781,Clinical outcomes of low-dose pharmacokinetic-guided extended half-life versus low-dose standard half-life factor VIII concentrate prophylaxis in haemophilia A patients,"['Rakmanotham A.', 'Moonla C.', 'Sosothikul D.']","['Faculty of Medicine, Chulalongkorn University', 'King Chulalongkorn Memorial Hospital']",0.0,"['Adolescent', 'Adult', 'Child', 'Factor VIII', 'Half-Life', 'Hemarthrosis', 'Hemophilia A', 'Hemorrhage', 'Hemostatics', 'Humans', 'Prospective Studies', 'Quality of Life', 'Young Adult']","['Hematology', 'Genetics (clinical)']",John Wiley and Sons Inc,2023
2782,"Possible role of Lipoptena fortisetosa (Diptera: Hippoboscidae) as a potential vector for Theileria spp. in captive Eld's deer in Khao Kheow open zoo, Thailand","['Tiawsirisup S.', 'Yurayart N.', 'Thongmeesee K.', 'Sri-in C.', 'Akarapas C.', 'Rittisornthanoo G.', 'Bunphungbaramee N.', 'Sipraya N.', 'Maikaew U.', 'Kongmakee P.', 'Saedan A.']","['Chulalongkorn University', 'Zoological Park Organization, Bangkok', 'Zoological Park Organization']",0.0,"['Animals', 'Babesia', 'Deer', 'Diptera', 'Disease Vectors', 'Humans', 'Phylogeny', 'Thailand', 'Theileria']","['Parasitology', 'Veterinary (miscellaneous)', 'Insect Science', 'Infectious Diseases']",Elsevier B.V.,2023
2783,Pesticide Safety Behavior among Cocoa Farmers in Nigeria: Current Trends and Determinants,"['Oludoye O.O.', 'Siriwong W.', 'Robson M.G.']","['Chulalongkorn University', 'School of Environmental and Biological Sciences', 'Rutgers New Jersey Agricultural Experiment Station']",3.0,"['Agriculture', 'Farmers', 'Farms', 'Health Knowledge, Attitudes, Practice', 'Humans', 'Nigeria', 'Occupational Exposure', 'Pesticides']","['Public Health, Environmental and Occupational Health']",Taylor and Francis Ltd.,2023
