authors,citedby,author_count
"['Brugada G.S.', 'Nademanee K.']",0,2
"['Avetisyan Z.', 'Evnin O.', 'Mkrtchyan K.']",9,3
"['Fuangarworn M.', 'Zhang Z.-Q.', 'Katlav A.']",0,3
"['Fuangarworn M.', 'Zhang Z.-Q.', 'Katlav A.']",4,3
"['Ali E.', 'Pora W.']",0,2
"['Waiyawuththanapoom P.', 'Vaiyavuth R.', 'Tirastittam P.', 'Zin S.S.', 'Wongsanguan C.', 'Aunyawong W.']",0,6
['Pisedtasalasai A.'],3,1
"['Lertthanaphol N.', 'Pienutsa N.', 'Chusri K.', 'Sornsuchat T.', 'Chanthara P.', 'Seeharaj P.', 'Kim-Lohsoontorn P.', 'Srinives S.']",8,8
"['Thongnum A.', 'Pingaew R.', 'Pinsook U.']",1,3
"['Shein A.M.S.', 'Hongsing P.', 'Abe S.', 'Luk-in S.', 'Ragupathi N.K.D.', 'Wannigama D.L.', 'Chatsuwan T.']",3,7
"['Atwill E.R.', 'Jeamsripong S.']",6,2
"['Abu-Raya B.', 'Madhi S.A.', 'Omer S.B.', 'Amirthalingam G.', 'Giles M.L.', 'Flanagan K.L.', 'Zimmermann P.', ""O'Ryan M."", 'Safadi M.A.', 'Papaevangelou V.', 'Maertens K.', 'Wanlapakorn N.', 'Diaz-Brito V.', 'Tommelein E.', 'Esposito S.']",9,15
"['Sanachai K.', 'Mahalapbutr P.', 'Sanghiran Lee V.', 'Rungrotmongkol T.', 'Hannongbua S.']",11,5
"['Siritientong T.', 'Thet D.']",0,2
"['Sun Q.', 'Li T.', 'Mao Y.', 'Gao H.', 'Sema T.', 'Wang S.', 'Liu L.', 'Liang Z.']",11,8
"['Meimoun J.', 'Sutapin C.', 'Stoclet G.', 'Favrelle A.', 'Roussel P.', 'Bria M.', 'Chirachanchai S.', 'Bonnet F.', 'Zinck P.']",8,9
"['Liu Y.', 'Miao Q.', 'Surawech C.', 'Zheng H.', 'Nguyen D.', 'Yang G.', 'Raman S.S.', 'Sung K.']",4,8
"['Sankaran R.', 'Markandan K.', 'Khoo K.S.', 'Cheng C.K.', 'Ashokkumar V.', 'Deepanraj B.', 'Show P.L.']",10,7
"['Ansar M.A.', 'Assawadithalerd M.', 'Tipmanee D.', 'Laokiat L.', 'Khamdahsag P.', 'Kittipongvises S.']",5,6
