authors,citedby,author_count
"['Dahlan M.', 'Sutapun A.', 'Sangveraphunsiri V.']",0,3
"['Onutai S.', 'Jiemsirilers S.', 'Kobayashi T.']",0,3
"['Natewong P.', 'Prasongthum N.', 'Reubroycharoena P.', 'Idem R.']",4,4
"['Panta R.', 'Ruangpornvisuti V.']",10,2
"['Pojjanapornpun S.', 'Kulsing C.', 'Kakanopas P.', 'Nolvachai Y.', 'Aryusuk K.', 'Krisnangkura K.', 'Marriott P.J.']",8,7
"['Sillapachaiyaporn C.', 'Nilkhet S.', 'Ung A.T.', 'Chuchawankul S.']",24,4
"['Boonserm P.', 'Ngampitipan T.', 'Boonsiri S.']",0,3
"['Manshor N.M.', 'Jai J.', 'Hamzah F.', 'Somwangthanaroj A.', 'Ongdeesoontorn W.T.']",5,5
"['Jettakul A.', 'Wichadakul D.', 'Vateekul P.']",5,3
"['Chamroensakchai T.', 'Manuprasert W.', 'Leelahavanichkul A.', 'Takkavatakarn K.', 'Thongbor N.', 'Jaroenpattrawut B.', 'Kanjanabuch T.']",4,7
"['Kewcharoen J.', 'Tom E.S.', 'Wiboonchutikula C.', 'Trongtorsak A.', 'Wittayalikit C.', 'Vutthikraivit W.', 'Prasitlumkum N.', 'Rattanawong P.']",14,8
"['Phoophiboon V.', 'Jaimchariyatam N.', 'Srimahachota S.', 'Sirinawin C.']",5,4
"['Mora P.', 'Schafer H.', 'Jubsilp C.', 'Rimdusit S.', 'Koschek K.']",17,5
"['Phisalprapa P.', 'Supakankunti S.', 'Chaiyakunapruk N.']",13,3
"['Maes M.', 'Rodriguez L.A.', 'Morris G.']",8,3
"['Sirisuk S.', 'Meemark Y.']",3,2
"['Guo Y.', 'Rato M.']",1,2
"['Tantasawat M.', 'Puttilerpong C.', 'Ayudhya P.N.', 'Chantarit P.']",0,4
"['Maneeratana K.', 'Chancharoen R.', 'Thongnuek P.', 'Sukmuen P.', 'Inkaew C.', 'Suwannatthachote P.']",2,6
"['Sitthiracha S.', 'Koetniyom S.', 'Phanomchoeng G.']",1,3
"['Piyasiridej S.', 'Townamchai N.', 'Udomkarnjananun S.', 'Vadcharavivad S.', 'Pongpirul K.', 'Wattanatorn S.', 'Sirichindakul B.', 'Avihingsanon Y.', 'Tungsanga K.', 'Eiam-Ong S.', 'Praditpornsilpa K.']",3,11
['Sitthiyot T.'],1,1
"['Sirikulvadhana S.', 'Kreemaha N.', 'Thongthangthai A.', 'Rujirapaiboon T.']",0,4
"['Techawiwattanaboon T.', 'Patarakul K.']",4,2
"['Lothong M.', 'Wattanaphansak S.', 'Deachapunya C.', 'Poonyachoti S.']",2,4
"['Jiratitipat N.', 'Srikhong P.', 'Wanasawaeng W.', 'Chansiripornchai N.']",2,4
"['Chawangwongsanukun R.', 'Meemon K.', 'Darawiroj D.', 'Wongtawan T.']",0,4
