city,sum,latitude,longitude
Hamburg,15319,53.550341,10.000654
Geneva,15303,46.2017559,6.1466014
Batavia,11466,-6.175247,106.8270488
Moscow,8584,55.625578,37.6063916
Bangkok,8466,13.7524938,100.4935089
Zurich,8035,47.3744489,8.5410422
Aachen,6935,50.776351,6.083862
London,6691,51.4893335,-0.14405508452768728
Bologna,6288,44.4938203,11.3426327
Bari,6195,41.1257843,16.8620293
Torino,6015,45.0677551,7.6824892
Cambridge,5823,52.2055314,0.1186637
Karlsruhe,5153,49.0068705,8.4034195
Seoul,4916,37.5666791,126.9782914
Pisa,4904,43.4714722,10.679791173704576
Beijing,4767,40.190632,116.412144
Padova,4503,45.391408,11.805848677115883
Rio de Janeiro,4375,-22.9110137,-43.2093727
Wien,4346,48.2083537,16.3725042
Rome,4186,41.8933203,12.4829321
Milano,4105,45.4641943,9.1896346
Mumbai,4086,19.08157715,72.88662753964906
Davis,3826,40.7474784,-92.3965311
Madrid,3808,40.4167047,-3.7035825
Gainesville,3768,29.6519684,-82.3249846
Villeurbanne,3742,45.7733573,4.8868454
Palaiseau,3626,48.7144587,2.2453842
Adana,3555,36.9863599,35.3252861
Perugia,3435,43.1070321,12.402996209906487
Piscataway,3352,40.5462553,-74.4660408
Madison,3305,43.074761,-89.3837613
Notre Dame,3290,41.704567749999995,-86.23822026017265
Louvain-la-Neuve,3226,50.6741689,4.613790587187648
Gif-sur-Yvette,3166,48.7018823,2.134529
Bruxelles,3153,50.8465573,4.351697
Dubna,3112,56.7362705,37.1623696
Santander,3048,43.4618932,-3.8100255
Boston,2994,42.3554334,-71.060511
Kolkata,2921,22.5726459,88.3638953
Bristol,2885,51.4538022,-2.5972985
Chicago,2882,41.8755616,-87.6244212
College Station,2812,30.6183939,-96.3455991
Iowa City,2690,41.6612561,-91.5299106
Ithaca,2682,42.437417499999995,-76.54837235139263
Riverside,2673,33.9824949,-117.374238
Santa Barbara,2643,34.4221319,-119.702667
Helsinki,2599,60.1674881,24.9427473
Didcot,2584,51.6056908,-1.2467923
West Lafayette,2528,40.4258686,-86.9080655
Providence,2518,41.8239891,-71.4128343
Princeton,2505,40.3496953,-74.6597376
Firenze,2493,43.7697955,11.2556404
Brussel,2485,50.8465573,4.351697
College Park,2469,38.980666,-76.9369189
Lawrence,2449,38.9719137,-95.2359403
Strasbourg,2412,48.584614,7.7507127
Protvino,2300,54.8707703,37.2188629
Chandigarh,2289,30.7334421,76.7797143
Istanbul,2281,41.0766019,29.052495
Houston,2251,29.7589382,-95.3676974
Pavia,2236,45.036854649999995,9.137825082826026
La Jolla,2131,32.8401623,-117.2740777
Lubbock,2119,33.5855677,-101.8470215
Rochester,2055,43.157285,-77.615214
Budapest,2014,47.4978789,19.0402383
Lisboa,1998,38.7077507,-9.1365919
Columbus,1991,39.9622601,-83.0007065
Taipei,1991,25.0375198,121.5636796
Tallahassee,1987,30.4380832,-84.2809332
Minneapolis,1949,44.9772995,-93.2654692
Napoli,1930,40.8358846,14.2487679
Mexico City,1880,19.4326296,-99.1331785
Pasadena,1854,34.1476507,-118.144155
Baltimore,1847,39.2908816,-76.610759
Nashville,1825,36.1622767,-86.7742984
Ghent,1818,51.0538286,3.7250121
Charlottesville,1772,38.029306,-78.4766781
Los Angeles,1748,34.0536909,-118.242766
Delhi,1739,28.6273928,77.1716954
Novara,1729,45.584250049999994,8.545996970894572
Lincoln,1706,40.8088861,-96.7077751
Debrecen,1677,47.531399,21.6259782
Sofia,1639,42.6977028,23.3217359
Catania,1628,37.5023612,15.0873718
Daegu,1609,35.8713,128.6018
Warsaw,1588,52.2337172,21.071432235636493
Villigen,1567,47.5262684,8.2147282
Tehran,1548,35.6892523,51.3896004
San Diego,1511,32.7174202,-117.162772
Gatchina (St. Petersburg),1476,59.8607639,30.3203642
Boulder,1465,40.0149856,-105.270545
Ioánnina,1464,39.6639818,20.8522784
Oviedo,1443,43.3618625,-5.8483581
Bhubaneswar,1419,20.2602964,85.8394521
São Paulo,1403,-23.5506507,-46.6333824
Swierk,1390,53.7085857,16.3685245
Evanston,1368,42.0470043,-87.6846053
Chung-Li,1326,39.7837304,-100.445882
Pittsburgh,1247,40.4416941,-79.9900861
Islamabad,1230,33.6938118,73.0651511
Trento,1215,46.1029536,11.12974249416882
Buffalo,1206,42.8867166,-78.8783922
Uxbridge,1203,51.5449509,-0.4816672
Nicosia,1193,35.1746503,33.3638783
Kuala Lumpur,1172,3.1516964,101.6942371
Pune,1172,18.5213738,73.8545071
Antwerpen,1163,51.2211097,4.3997081
Manhattan,1132,40.7896239,-73.9598939
Athens,1117,33.9597677,-83.376398
Split,1115,43.5116383,16.4399659
Melbourne,1075,-37.8142454,144.9631732
Trieste,1069,45.6496485,13.7772781
Waco,1055,31.5491899,-97.1474628
Belgrade,1049,44.8178131,20.4568974
Novosibirsk,966,55.0288307,82.9226887
Bogota,962,4.6533816,-74.0836333
Vienna,957,48.2083537,16.3725042
Aghia Paraskevi,944,38.0066759,23.8226942
Genova,941,44.40726,8.9338624
Tallinn,921,59.4372155,24.7453688
Knoxville,899,35.9603948,-83.9210261
Zagreb,873,45.8130967,15.9772795
Detroit,821,42.3315509,-83.0466403
Cairo,760,30.0443879,31.2357257
Tuscaloosa,729,33.2095614,-87.5675258
Frascati,718,41.8082452,12.6803684
Roma,687,41.8933203,12.4829321
Ankara,685,39.7160439,32.7059948
Suwon,590,37.2633325,127.0287472
Puebla,544,18.833333,-98.0
Miami,515,25.7741728,-80.19362
Minsk,467,53.9024716,27.5618225
Milan,454,45.4641943,9.1896346
Vilnius,435,54.6870458,25.2829111
Kwangju,426,35.1594647,126.8515034
Hammond,409,41.6173959,-87.5220108
Mulhouse,385,47.7467233,7.3389937
Tbilisi,374,41.6934591,44.8014495
Oxford,338,51.7520131,-1.2578499
Brussels,330,50.8465573,4.351697
Potenza,326,40.51731195,15.821608824871046
Bangalore,324,12.98815675,77.62260003796
Washington,323,38.8950368,-77.0365427
New York,320,40.7127281,-74.0060152
Kharkov,318,49.9923181,36.2310146
Prague,317,50.0874654,14.4212535
Dublin,293,53.3493795,-6.2605593
Yerevan,293,40.1777112,44.5126233
Livermore,292,37.6820583,-121.768053
Cottbus,287,51.7567447,14.3357307
Solan,271,42.9431682,1.6950613
Mayaguez,267,18.21163545,-67.0953571846176
Adiyaman,249,37.7602985,38.2772986
Campinas,243,-22.9056391,-47.059564
Santiniketan,240,6.1212013,-75.6275627
Isfahan,237,32.6707877,51.6650002
Tokyo,236,35.6768601,139.7638947
Chiang Mai,219,18.7882778,98.9858802
Doha,218,25.2856329,51.5264162
Christchurch,204,-43.530955,172.6364343
Lappeenranta,193,61.0583713,28.1862742
St. Petersburg,189,59.9606739,30.1586551
Quito,185,-0.2201641,-78.5123274
Siena,182,43.167205949999996,11.467561040475552
Mersin,182,36.7978381,34.6298391
Lisbon,180,38.7077507,-9.1365919
Auckland,152,-36.852095,174.7631803
Madras,141,44.6334544,-121.129487
Riga,140,56.9493977,24.1051846
Nakhon Pathom,139,13.8918425,100.0165659
San Luis Potosí,136,22.5000001,-100.4949145
Pathumthani,136,13.97270675,100.51976929479142
Ioannina,132,39.6639818,20.8522784
Tomsk,130,58.6124279,82.0475315
Tokat,130,40.38658275,36.656546010111526
Kajang,127,2.9948437,101.7896595
Southampton,126,50.9025349,-1.404189
Kars,121,40.4558435,42.9979531
Izmir,121,38.23166,27.02997
Orem,120,40.2981599,-111.6944313
Sinop,116,41.6476377,34.9560137
San Francisco,115,37.7792588,-122.4193286
Khon Kaen,115,16.6022387,102.6352933
Bingol,115,38.8861265,40.4972333
Florence,110,43.7697955,11.2556404
Bethesda,108,38.9846816,-77.0942447
Mexico city,106,19.4326296,-99.1331785
Matara,101,5.947822,80.5482919
Zewail,99,30.156315983825383,31.813855057070878
Pathumwan,97,13.7482977,100.52584733414871
(St. Petersburg),93,59.9606739,30.1586551
Toronto,91,43.6534817,-79.3839347
Krakow,89,50.0469432,19.997153435836697
Yazd,88,32.0406164,54.6657189
Erzincan,87,39.6073429,39.2013209
Pathum Thani,86,14.048667,100.5640405
Konya,82,37.872734,32.4924376
Clayton,81,33.5204959,-84.3591713
La Laguna,79,28.4857715,-16.3159422
Jeddah,78,21.5504432,39.1742363
Porto Alegre,74,-30.0324999,-51.2303767
Pelotas,71,-31.7699736,-52.3410161
Geelong,70,-38.1493248,144.3598241
Hermosillo,67,29.0948207,-110.9692202
Sydney,66,-33.8698439,151.2082848
Ann Arbor,65,42.2813722,-83.7484616
Jeonju,65,35.8237631,127.1472805
München,61,48.1371079,11.5753822
Selangor,58,3.2083304,101.304146
Nagoya,57,35.1851045,136.8998438
Antwerp,56,51.2211097,4.3997081
Qinhuangdao,56,39.9395724,119.5894129
Tsukuba,56,36.0833265,140.077279
