authors,citedby,author_count
"['De Clerck M.', 'Evnin O.']",6.0,2
"['Cao J.', 'Zhang D.', 'Zhang X.', 'Wang S.', 'Han J.', 'Zhao Y.', 'Huang Y.', 'Qin J.']",67.0,8
"['Che H.', 'Ngaw C.K.', 'Hu P.', 'Wang J.', 'Li Y.', 'Wang X.', 'Teng W.']",11.0,7
"['Sukmas W.', 'Tsuppayakorn-aek P.', 'Pinsook U.', 'Bovornratanaraks T.']",33.0,4
"['Kimkong I.', 'Kunanopparat A.']",1.0,2
"['Sooksaen P.', 'Thongyoug P.']",0.0,2
"['Thavaravej C.', 'Leejeerajumnean A.', 'Tagawa T.', 'Wang Q.', 'Tsutsumi H.', 'Assabumrungrat S.', 'Quitain A.T.', 'Shaharun M.S.', 'Krongsut S.', 'Kiatkittipong W.']",0.0,10
"['Phiwchaaum C.', 'Ksapabutr B.', 'Chaiyut N.', 'Panapoy M.']",1.0,4
"['Boonamnuay T.', 'Kim-Lohsoontorn P.']",0.0,2
"['Khamhaeng P.', 'Kim-Lohsoontorn P.']",3.0,2
"['Wongwirat T.', 'Zhu Z.', 'Rui G.', 'Li R.', 'Laoratanakul P.', 'He H.', 'Manuspiya H.', 'Zhu L.']",23.0,8
"['Nidhan S.', 'Chongsiripinyo K.', 'Schmidt O.T.', 'Sarkar S.']",13.0,4
"['Zhu T.', 'Rojsitthisak P.', 'Wu J.']",11.0,3
"['Hongrattanavichit I.', 'Aht-Ong D.']",38.0,2
"['Anderson G.', 'Maes M.']",30.0,2
"['Ubolnuar N.', 'Tantisuwat A.', 'Thaveeratitham P.', 'Lertmaharit S.', 'Kruapanich C.', 'Chimpalee J.', 'Mathiyakom W.']",4.0,7
"['Ahmad S.F.', 'Singchat W.', 'Jehangir M.', 'Suntronpong A.', 'Panthum T.', 'Malaivijitnond S.', 'Srikulnath K.']",23.0,7
"['Manissorn J.', 'Sitthiyotha T.', 'Montalban J.R.E.', 'Chunsrivirot S.', 'Thongnuek P.', 'Wangkanont K.']",8.0,6
"['Kiyoki Y.', 'Chawakitchareon P.', 'Rungsupa S.', 'Chen X.', 'Samlansin K.']",2.0,5
"['Chen X.', 'Prayongrat M.', 'Kiyoki Y.']",2.0,3
"['Pataveepaisit H.', 'Srisuriyachai F.']",0.0,2
